,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,7(0),9(0),12(0),14(0),16(1),21(3),58(1),59(1)
1,Improper Control of a Resource Through its Lifetime,5(0),7(0),8(0),9(0),11(0),13(2),39(0),39(0)
2,Range Error,7(0),10(0),15(0),15(0),16(0),29(2),37(3),37(3)
3,Code Quality,3(1),4(1),4(2),5(1),10(0),12(0),16(1),16(1)
4,all,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
5,Median,6(2),8(2),10(6),11(6),13(5),17(12),38(18),38(19)
