,Dataset,Recall_none,Recall_majority,Recall_machine,Recall_knee,Cost_none,Cost_majority,Cost_machine,Cost_knee
0,Arbitrary Code,100(1),100(1),98(2),91(8),100(11),200(22),128(27),60(22)
1,Improper Control of a Resource Through its Lifetime,100(0),100(0),100(0),96(0),100(5),200(10),149(7),56(13)
2,Other,100(0),100(0),100(0),78(17),100(10),200(20),144(11),43(34)
3,Range Error,100(0),100(0),100(0),96(0),99(12),199(24),137(13),68(25)
4,Code Quality,100(0),100(0),100(0),89(6),100(6),200(12),145(8),43(15)
5,all,100(0),100(0),100(0),95(0),100(0),200(0),149(0),47(5)
6,Median,100(0),100(0),100(0),95(7),100(6),200(13),144(16),52(21)
