,Dataset,recall_0.9,cost_0.9,recall_0.95,cost_0.95,recall_0.99,cost_0.99
0,Arbitrary Code,84(19),14(7),94(2),20(6),98(1),44(12)
1,Improper Control of a Resource Through its Lifetime,93(1),12(0),98(1),17(1),100(0),48(0)
2,Range Error,96(3),31(3),100(0),45(2),100(0),58(2)
3,Code Quality,100(0),27(0),100(0),38(0),100(0),58(1)
4,all,0(0),0(0),0(0),0(0),0(0),0(0)
5,Median,93(6),23(15),100(3),33(22),100(0),52(11)
