,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,50(22),55(26),59(26),59(27),62(24),69(16),90(6),100(0)
1,Improper Control of a Resource Through its Lifetime,41(13),48(17),59(17),62(13),73(9),76(6),100(13),100(13)
2,Range Error,41(6),45(6),52(20),59(24),73(20),83(10),86(6),86(6)
3,Code Quality,41(10),48(13),53(19),64(17),69(10),73(6),76(3),76(3)
4,all,41(17),45(17),48(17),55(20),57(17),62(20),83(2),100(0)
5,Median,41(10),48(13),55(20),59(20),66(16),73(13),86(6),97(16)
