,Dataset,recall_0.9,cost_0.9,recall_0.95,cost_0.95,recall_0.99,cost_0.99
0,Arbitrary Code,96(0),25(0),98(0),35(1),100(0),59(0)
1,Improper Control of a Resource Through its Lifetime,98(0),23(0),98(0),33(0),100(0),63(0)
2,Range Error,100(0),59(0),100(0),68(0),100(0),75(0)
3,Code Quality,100(0),33(1),100(0),46(0),100(0),60(0)
4,Other,96(3),41(1),100(0),54(0),100(0),65(0)
5,all,0(0),0(0),0(0),0(0),0(0),0(0)
6,Median,98(3),33(16),100(1),46(19),100(0),63(4)
