,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,6(1),9(2),12(1),16(1),20(3),28(3),37(9),43(7)
1,Improper Control of a Resource Through its Lifetime,6(1),8(2),9(1),9(2),11(3),13(2),33(4),33(4)
2,Range Error,12(4),13(2),14(4),15(4),16(4),20(4),42(15),42(15)
3,Code Quality,4(4),5(4),8(3),10(4),19(5),21(5),30(7),30(7)
4,Other,5(3),6(4),11(5),12(5),14(4),18(3),83(2),83(2)
5,all,5(0),7(0),9(1),12(1),14(1),20(2),34(2),85(0)
6,Median,6(2),8(3),10(4),13(4),16(5),20(7),35(12),43(49)
