,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,60(3),69(5),80(3),85(5),91(3),95(3),99(1),99(0)
1,Improper Control of a Resource Through its Lifetime,59(9),69(7),79(7),85(5),89(3),94(3),99(1),99(1)
2,Range Error,59(10),70(13),78(11),84(9),90(7),95(3),97(4),97(4)
3,Code Quality,60(10),71(9),81(11),83(9),91(5),93(5),98(2),98(2)
4,Other,63(10),70(8),76(7),83(8),89(7),95(5),98(1),98(1)
5,all,60(2),70(3),80(2),85(2),90(1),95(1),99(0),99(0)
6,Median,60(8),70(7),79(6),84(6),90(4),94(3),98(1),99(1)
