,Dataset,Recall_majority,Recall_knee,Recall_machine,Recall_machine3,Cost_majority,Cost_knee,Cost_machine,Cost_machine3
0,Arbitrary Code,100(1),91(8),98(2),98(2),200(22),60(22),128(27),171(36)
1,Improper Control of a Resource Through its Lifetime,100(0),96(0),100(0),100(0),200(10),56(13),149(7),198(9)
2,Range Error,100(0),96(0),100(0),100(0),199(24),69(21),137(13),181(17)
3,Code Quality,100(0),89(6),100(0),100(0),200(12),43(13),145(8),192(12)
4,Other,100(0),78(17),100(0),100(0),200(20),43(34),144(11),190(10)
5,all,100(0),95(0),100(0),100(0),200(0),47(6),150(1),201(2)
6,Median,100(0),95(7),100(0),100(0),200(13),52(22),146(13),192(19)
