,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,7(0),8(0),13(0),15(0),17(0),23(0),38(1),39(1)
1,Improper Control of a Resource Through its Lifetime,5(0),6(0),8(0),11(0),12(1),17(0),34(1),34(1)
2,Range Error,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
3,Code Quality,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
4,Other,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
5,all,0(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
6,Median,7(1),8(1),12(5),14(4),16(4),22(6),37(4),37(4)
