,Dataset,recall_0.9,cost_0.9,recall_0.95,cost_0.95,recall_0.99,cost_0.99
0,Arbitrary Code,87(2),18(2),91(2),22(3),98(3),33(5)
1,Improper Control of a Resource Through its Lifetime,96(0),19(2),98(1),26(3),100(0),46(3)
2,Range Error,96(2),36(5),100(3),46(5),100(0),56(6)
3,Code Quality,96(3),30(7),100(0),42(6),100(0),54(7)
4,Other,97(0),25(6),97(0),32(6),97(0),50(5)
5,all,90(2),15(2),95(1),21(1),99(0),43(0)
6,Median,96(6),23(12),97(4),30(17),99(2),47(10)
