,Dataset,0.6,0.7,0.8,0.85,0.9,0.95,0.99,1.0
0,Arbitrary Code,5(0),9(0),13(0),0(0),0(0),0(0),0(0),0(0)
1,Improper Control of a Resource Through its Lifetime,5(0),6(0),9(0),11(0),0(0),0(0),0(0),0(0)
2,Range Error,10(0),0(0),0(0),0(0),0(0),0(0),0(0),0(0)
3,Code Quality,1(0),2(0),4(0),4(0),10(0),11(0),12(0),12(0)
4,Other,3(0),4(0),6(0),8(0),9(0),10(0),10(0),10(0)
5,all,5(0),8(0),11(0),14(0),0(0),0(0),0(0),0(0)
6,Median,5(1),6(3),9(5),9(4),9(0),10(0),11(1),11(1)
