,Dataset,Recall_majority,Recall_knee,Recall_machine,Recall_machine3,Cost_majority,Cost_knee,Cost_machine,Cost_machine3
0,Arbitrary Code,84(3),67(10),81(4),89(5),205(35),62(50),149(19),170(57)
1,Improper Control of a Resource Through its Lifetime,82(2),77(7),82(4),91(3),213(15),58(14),154(38),202(13)
2,Range Error,84(6),68(9),82(8),90(4),214(12),63(29),147(19),199(13)
3,Code Quality,86(6),72(6),82(6),86(6),209(17),45(32),162(16),208(17)
4,Other,85(4),73(12),82(8),90(1),202(24),44(29),152(19),197(13)
5,all,82(1),72(3),83(2),93(2),191(5),56(13),145(16),198(8)
6,Median,83(4),71(9),82(5),90(4),204(25),57(24),151(21),199(16)
