,Dataset,Recall_majority,Recall_knee,Recall_machine,Recall_machine3,Cost_majority,Cost_knee,Cost_machine,Cost_machine3
0,Arbitrary Code,99(1),87(12),96(2),97(2),199(26),58(31),116(14),148(35)
1,Improper Control of a Resource Through its Lifetime,98(1),95(1),99(1),99(1),199(15),57(16),147(14),197(19)
2,Range Error,100(3),90(14),98(3),100(2),201(24),61(30),140(15),180(28)
3,Code Quality,98(3),86(5),100(2),100(0),200(17),46(28),151(10),195(7)
4,Other,100(0),92(12),100(1),100(0),200(16),59(44),145(10),191(8)
5,all,99(0),92(1),98(0),100(0),200(2),49(4),149(2),200(1)
6,Median,99(2),91(9),98(2),100(1),200(15),54(23),146(14),193(21)
